OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-2711,2021-044AM,2026-04-22T17:20:12.234912,15.29373062,.0001136,53.1575,269.2114,77.7028,282.4099,0,U,48673,999,27055,.77075299E-4,.187E-4,0
STARLINK-2712,2021-044AN,2026-04-23T02:52:55.431264,15.30202985,.00012526,53.1601,267.4630,70.3810,289.7326,0,U,48674,999,27061,.52059927E-4,.1183E-4,0
STARLINK-2746,2021-044AQ,2026-04-22T17:19:30.225504,15.30209925,.00018744,53.1587,269.3154,86.2991,273.8224,0,U,48676,999,27055,.14736933E-3,.4009E-4,0
STARLINK-2615,2021-044AS,2026-04-23T08:00:01.999872,15.31675231,.00011797,53.1600,256.2985,97.2273,270.5398,0,U,48678,999,535,.16671898E-2,.51689E-3,0
STARLINK-2648,2021-044AT,2026-04-23T03:48:10.496448,15.29357151,.00012237,53.1567,267.1923,89.5149,270.5992,0,U,48679,999,27062,.65924535E-4,.1547E-4,0
STARLINK-2725,2021-044AV,2026-04-22T14:37:46.422912,15.30208968,.0001178,53.1598,231.2691,81.7528,278.3606,0,U,48681,999,27108,.50927E-4,.115E-4,0
STARLINK-2743,2021-044AW,2026-04-22T13:49:57.103968,15.31688641,.0000996,53.1607,221.0363,8.4195,351.6823,0,U,48682,999,27122,.16788E-5,-.313E-5,0
STARLINK-2756,2021-044AX,2026-04-22T13:36:33.825888,15.31694696,.0001465,53.1604,221.2699,88.8076,271.3093,0,U,48683,999,27122,-.72178E-4,-.2604E-4,0
STARLINK-2741,2021-044AY,2026-04-23T07:21:21.193920,15.31692698,.00011713,53.1583,230.5465,88.9130,271.2006,0,U,48684,999,27116,-.14217809E-3,-.4773E-4,0
STARLINK-2751,2021-044AZ,2026-04-23T00:40:56.750304,15.31696809,.00011091,53.1611,218.8356,74.2826,285.8298,0,U,48685,999,27130,.84873932E-4,.2269E-4,0
STARLINK-2629,2021-044BA,2026-04-23T06:46:49.520640,15.31700936,.0001653,53.1577,228.1087,80.0145,280.1043,0,U,48686,999,27118,.10667277E-3,.2946E-4,0
STARLINK-2627,2021-044BB,2026-04-23T07:30:21.600864,15.31701243,.00013941,53.1617,217.5822,89.1089,271.0072,0,U,48687,999,27133,.71932004E-4,.1868E-4,0
STARLINK-2742,2021-044BC,2026-04-22T11:41:41.232192,15.30342616,.00020752,53.1631,221.6147,134.8979,225.2191,0,U,48688,999,27120,.66832096E-3,.19574E-3,0
STARLINK-2740,2021-044BE,2026-04-22T14:27:24.403392,15.31724058,.0001086,53.1595,231.2359,86.0254,274.0871,0,U,48690,999,27108,.21279E-3,.6248E-4,0
STARLINK-2750,2021-044BF,2026-04-22T14:47:03.854976,15.31717610,.0001235,53.1601,231.1495,86.8149,273.2993,0,U,48691,999,27108,.16962E-3,.4905E-4,0
STARLINK-2752,2021-044BG,2026-04-22T12:05:56.800032,15.31711107,.0000979,53.1586,231.4608,97.2289,262.8824,0,U,48692,999,27107,.5803E-4,.1437E-4,0
