episode,source,target
1,IRIDIUM 136,IRIDIUM 152
2,IRIDIUM 136,IRIDIUM 152
3,IRIDIUM 136,IRIDIUM 152
4,IRIDIUM 136,IRIDIUM 152
5,IRIDIUM 136,IRIDIUM 152
6,IRIDIUM 136,IRIDIUM 152
7,IRIDIUM 136,IRIDIUM 152
8,IRIDIUM 136,IRIDIUM 152
9,IRIDIUM 136,IRIDIUM 152
10,IRIDIUM 136,IRIDIUM 152
11,IRIDIUM 136,IRIDIUM 152
12,IRIDIUM 136,IRIDIUM 152
13,IRIDIUM 136,IRIDIUM 152
14,IRIDIUM 136,IRIDIUM 152
15,IRIDIUM 136,IRIDIUM 152
16,IRIDIUM 136,IRIDIUM 152
17,IRIDIUM 136,IRIDIUM 152
18,IRIDIUM 136,IRIDIUM 152
19,IRIDIUM 136,IRIDIUM 152
20,IRIDIUM 136,IRIDIUM 152
21,IRIDIUM 136,IRIDIUM 152
22,IRIDIUM 136,IRIDIUM 152
23,IRIDIUM 136,IRIDIUM 152
24,IRIDIUM 136,IRIDIUM 152
25,IRIDIUM 136,IRIDIUM 152
26,IRIDIUM 136,IRIDIUM 152
27,IRIDIUM 136,IRIDIUM 152
28,IRIDIUM 136,IRIDIUM 152
29,IRIDIUM 136,IRIDIUM 152
30,IRIDIUM 136,IRIDIUM 152
31,IRIDIUM 136,IRIDIUM 152
32,IRIDIUM 136,IRIDIUM 152
33,IRIDIUM 136,IRIDIUM 152
34,IRIDIUM 136,IRIDIUM 152
35,IRIDIUM 136,IRIDIUM 152
36,IRIDIUM 136,IRIDIUM 152
37,IRIDIUM 136,IRIDIUM 152
38,IRIDIUM 136,IRIDIUM 152
39,IRIDIUM 136,IRIDIUM 152
40,IRIDIUM 136,IRIDIUM 152
41,IRIDIUM 136,IRIDIUM 152
42,IRIDIUM 136,IRIDIUM 152
43,IRIDIUM 136,IRIDIUM 152
44,IRIDIUM 136,IRIDIUM 152
45,IRIDIUM 136,IRIDIUM 152
46,IRIDIUM 136,IRIDIUM 152
47,IRIDIUM 136,IRIDIUM 152
48,IRIDIUM 136,IRIDIUM 152
49,IRIDIUM 136,IRIDIUM 152
50,IRIDIUM 136,IRIDIUM 152
51,IRIDIUM 136,IRIDIUM 152
52,IRIDIUM 136,IRIDIUM 152
53,IRIDIUM 136,IRIDIUM 152
54,IRIDIUM 136,IRIDIUM 152
55,IRIDIUM 136,IRIDIUM 152
56,IRIDIUM 136,IRIDIUM 152
57,IRIDIUM 136,IRIDIUM 152
58,IRIDIUM 136,IRIDIUM 152
59,IRIDIUM 136,IRIDIUM 152
60,IRIDIUM 136,IRIDIUM 152
61,IRIDIUM 136,IRIDIUM 152
62,IRIDIUM 136,IRIDIUM 152
63,IRIDIUM 136,IRIDIUM 152
64,IRIDIUM 136,IRIDIUM 152
65,IRIDIUM 136,IRIDIUM 152
66,IRIDIUM 136,IRIDIUM 152
67,IRIDIUM 136,IRIDIUM 152
68,IRIDIUM 136,IRIDIUM 152
69,IRIDIUM 136,IRIDIUM 152
70,IRIDIUM 136,IRIDIUM 152
71,IRIDIUM 136,IRIDIUM 152
72,IRIDIUM 136,IRIDIUM 152
73,IRIDIUM 136,IRIDIUM 152
74,IRIDIUM 136,IRIDIUM 152
75,IRIDIUM 136,IRIDIUM 152
76,IRIDIUM 136,IRIDIUM 152
77,IRIDIUM 136,IRIDIUM 152
78,IRIDIUM 136,IRIDIUM 152
79,IRIDIUM 136,IRIDIUM 152
80,IRIDIUM 136,IRIDIUM 152
81,IRIDIUM 136,IRIDIUM 152
82,IRIDIUM 136,IRIDIUM 152
83,IRIDIUM 136,IRIDIUM 152
84,IRIDIUM 136,IRIDIUM 152
85,IRIDIUM 136,IRIDIUM 152
86,IRIDIUM 136,IRIDIUM 152
87,IRIDIUM 136,IRIDIUM 152
88,IRIDIUM 136,IRIDIUM 152
89,IRIDIUM 136,IRIDIUM 152
90,IRIDIUM 136,IRIDIUM 152
91,IRIDIUM 136,IRIDIUM 152
92,IRIDIUM 136,IRIDIUM 152
93,IRIDIUM 136,IRIDIUM 152
94,IRIDIUM 136,IRIDIUM 152
95,IRIDIUM 136,IRIDIUM 152
96,IRIDIUM 136,IRIDIUM 152
97,IRIDIUM 136,IRIDIUM 152
98,IRIDIUM 136,IRIDIUM 152
99,IRIDIUM 136,IRIDIUM 152
100,IRIDIUM 136,IRIDIUM 152
101,IRIDIUM 136,IRIDIUM 152
102,IRIDIUM 136,IRIDIUM 152
103,IRIDIUM 136,IRIDIUM 152
104,IRIDIUM 136,IRIDIUM 152
105,IRIDIUM 136,IRIDIUM 152
106,IRIDIUM 136,IRIDIUM 152
107,IRIDIUM 136,IRIDIUM 152
108,IRIDIUM 136,IRIDIUM 152
109,IRIDIUM 136,IRIDIUM 152
110,IRIDIUM 136,IRIDIUM 152
111,IRIDIUM 136,IRIDIUM 152
112,IRIDIUM 136,IRIDIUM 152
113,IRIDIUM 136,IRIDIUM 152
114,IRIDIUM 136,IRIDIUM 152
115,IRIDIUM 136,IRIDIUM 152
116,IRIDIUM 136,IRIDIUM 152
117,IRIDIUM 136,IRIDIUM 152
118,IRIDIUM 136,IRIDIUM 152
119,IRIDIUM 136,IRIDIUM 152
120,IRIDIUM 136,IRIDIUM 152
121,IRIDIUM 136,IRIDIUM 152
122,IRIDIUM 136,IRIDIUM 152
123,IRIDIUM 136,IRIDIUM 152
124,IRIDIUM 136,IRIDIUM 152
125,IRIDIUM 136,IRIDIUM 152
126,IRIDIUM 136,IRIDIUM 152
127,IRIDIUM 136,IRIDIUM 152
128,IRIDIUM 136,IRIDIUM 152
129,IRIDIUM 136,IRIDIUM 152
130,IRIDIUM 136,IRIDIUM 152
131,IRIDIUM 136,IRIDIUM 152
132,IRIDIUM 136,IRIDIUM 152
133,IRIDIUM 136,IRIDIUM 152
134,IRIDIUM 136,IRIDIUM 152
135,IRIDIUM 136,IRIDIUM 152
136,IRIDIUM 136,IRIDIUM 152
137,IRIDIUM 136,IRIDIUM 152
138,IRIDIUM 136,IRIDIUM 152
139,IRIDIUM 136,IRIDIUM 152
140,IRIDIUM 136,IRIDIUM 152
141,IRIDIUM 136,IRIDIUM 152
142,IRIDIUM 136,IRIDIUM 152
143,IRIDIUM 136,IRIDIUM 152
