episode,source,target
146,IRIDIUM 131,IRIDIUM 141
147,IRIDIUM 129,IRIDIUM 152
148,IRIDIUM 167,IRIDIUM 152
149,IRIDIUM 112,IRIDIUM 143
150,IRIDIUM 167,IRIDIUM 152
151,IRIDIUM 157,IRIDIUM 143
152,IRIDIUM 167,IRIDIUM 152
153,IRIDIUM 152,IRIDIUM 100
154,IRIDIUM 135,IRIDIUM 152
155,IRIDIUM 132,IRIDIUM 152
156,IRIDIUM 132,IRIDIUM 150
157,IRIDIUM 102,IRIDIUM 141
158,IRIDIUM 167,IRIDIUM 152
159,IRIDIUM 131,IRIDIUM 141
160,IRIDIUM 134,IRIDIUM 112
161,IRIDIUM 134,IRIDIUM 112
162,IRIDIUM 167,IRIDIUM 152
163,IRIDIUM 102,IRIDIUM 141
164,IRIDIUM 131,IRIDIUM 141
165,IRIDIUM 144,IRIDIUM 152
166,IRIDIUM 157,IRIDIUM 141
167,IRIDIUM 120,IRIDIUM 150
168,IRIDIUM 160,IRIDIUM 156
169,IRIDIUM 167,IRIDIUM 152
170,IRIDIUM 132,IRIDIUM 152
171,IRIDIUM 103,IRIDIUM 150
172,IRIDIUM 131,IRIDIUM 141
173,IRIDIUM 144,IRIDIUM 152
174,IRIDIUM 132,IRIDIUM 152
175,IRIDIUM 150,IRIDIUM 149
176,IRIDIUM 135,IRIDIUM 152
177,IRIDIUM 167,IRIDIUM 152
178,IRIDIUM 129,IRIDIUM 152
179,IRIDIUM 132,IRIDIUM 150
180,IRIDIUM 131,IRIDIUM 141
181,IRIDIUM 120,IRIDIUM 150
182,IRIDIUM 152,IRIDIUM 100
183,IRIDIUM 132,IRIDIUM 152
184,IRIDIUM 100,IRIDIUM 103
185,IRIDIUM 109,IRIDIUM 152
186,IRIDIUM 111,IRIDIUM 112
187,IRIDIUM 132,IRIDIUM 150
188,IRIDIUM 109,IRIDIUM 152
189,IRIDIUM 103,IRIDIUM 150
190,IRIDIUM 131,IRIDIUM 141
191,IRIDIUM 131,IRIDIUM 141
192,IRIDIUM 132,IRIDIUM 150
193,IRIDIUM 144,IRIDIUM 152
194,IRIDIUM 112,IRIDIUM 143
195,IRIDIUM 111,IRIDIUM 112
196,IRIDIUM 167,IRIDIUM 152
197,IRIDIUM 109,IRIDIUM 152
198,IRIDIUM 134,IRIDIUM 112
199,IRIDIUM 109,IRIDIUM 152
200,IRIDIUM 134,IRIDIUM 112
201,IRIDIUM 132,IRIDIUM 150
202,IRIDIUM 167,IRIDIUM 152
203,IRIDIUM 132,IRIDIUM 152
204,IRIDIUM 100,IRIDIUM 103
205,IRIDIUM 157,IRIDIUM 141
206,IRIDIUM 103,IRIDIUM 150
207,IRIDIUM 100,IRIDIUM 103
208,IRIDIUM 152,IRIDIUM 100
209,IRIDIUM 109,IRIDIUM 152
210,IRIDIUM 152,IRIDIUM 100
211,IRIDIUM 157,IRIDIUM 141
212,IRIDIUM 109,IRIDIUM 152
213,IRIDIUM 120,IRIDIUM 150
214,IRIDIUM 157,IRIDIUM 141
215,IRIDIUM 102,IRIDIUM 141
216,IRIDIUM 131,IRIDIUM 141
217,IRIDIUM 135,IRIDIUM 152
218,IRIDIUM 135,IRIDIUM 152
219,IRIDIUM 131,IRIDIUM 141
220,IRIDIUM 132,IRIDIUM 150
221,IRIDIUM 150,IRIDIUM 149
222,IRIDIUM 150,IRIDIUM 149
223,IRIDIUM 100,IRIDIUM 103
224,IRIDIUM 135,IRIDIUM 152
225,IRIDIUM 100,IRIDIUM 103
226,IRIDIUM 152,IRIDIUM 100
227,IRIDIUM 135,IRIDIUM 152
228,IRIDIUM 150,IRIDIUM 149
229,IRIDIUM 150,IRIDIUM 149
230,IRIDIUM 134,IRIDIUM 112
231,IRIDIUM 109,IRIDIUM 152
232,IRIDIUM 100,IRIDIUM 103
233,IRIDIUM 103,IRIDIUM 150
234,IRIDIUM 144,IRIDIUM 152
235,IRIDIUM 157,IRIDIUM 143
236,IRIDIUM 103,IRIDIUM 150
237,IRIDIUM 112,IRIDIUM 143
238,IRIDIUM 102,IRIDIUM 141
239,IRIDIUM 111,IRIDIUM 112
240,IRIDIUM 135,IRIDIUM 152
241,IRIDIUM 131,IRIDIUM 141
242,IRIDIUM 144,IRIDIUM 152
243,IRIDIUM 129,IRIDIUM 152
244,IRIDIUM 134,IRIDIUM 112
245,IRIDIUM 134,IRIDIUM 112
246,IRIDIUM 131,IRIDIUM 141
247,IRIDIUM 111,IRIDIUM 112
248,IRIDIUM 134,IRIDIUM 112
249,IRIDIUM 112,IRIDIUM 143
250,IRIDIUM 160,IRIDIUM 156
251,IRIDIUM 132,IRIDIUM 152
252,IRIDIUM 160,IRIDIUM 156
253,IRIDIUM 134,IRIDIUM 112
254,IRIDIUM 144,IRIDIUM 152
255,IRIDIUM 131,IRIDIUM 141
256,IRIDIUM 144,IRIDIUM 152
257,IRIDIUM 135,IRIDIUM 152
258,IRIDIUM 157,IRIDIUM 141
259,IRIDIUM 134,IRIDIUM 112
260,IRIDIUM 132,IRIDIUM 150
261,IRIDIUM 100,IRIDIUM 103
262,IRIDIUM 100,IRIDIUM 103
263,IRIDIUM 112,IRIDIUM 143
264,IRIDIUM 132,IRIDIUM 152
265,IRIDIUM 100,IRIDIUM 103
266,IRIDIUM 157,IRIDIUM 141
267,IRIDIUM 157,IRIDIUM 143
268,IRIDIUM 111,IRIDIUM 112
269,IRIDIUM 132,IRIDIUM 150
270,IRIDIUM 112,IRIDIUM 143
271,IRIDIUM 144,IRIDIUM 152
272,IRIDIUM 135,IRIDIUM 152
273,IRIDIUM 129,IRIDIUM 152
274,IRIDIUM 157,IRIDIUM 143
275,IRIDIUM 109,IRIDIUM 152
276,IRIDIUM 132,IRIDIUM 152
277,IRIDIUM 129,IRIDIUM 152
278,IRIDIUM 157,IRIDIUM 143
279,IRIDIUM 167,IRIDIUM 152
280,IRIDIUM 135,IRIDIUM 152
281,IRIDIUM 157,IRIDIUM 141
282,IRIDIUM 112,IRIDIUM 143
283,IRIDIUM 167,IRIDIUM 152
284,IRIDIUM 135,IRIDIUM 152
285,IRIDIUM 132,IRIDIUM 152
286,IRIDIUM 157,IRIDIUM 141
287,IRIDIUM 100,IRIDIUM 103
288,IRIDIUM 112,IRIDIUM 143
289,IRIDIUM 103,IRIDIUM 150
290,IRIDIUM 167,IRIDIUM 152
291,IRIDIUM 103,IRIDIUM 150
292,IRIDIUM 120,IRIDIUM 150
293,IRIDIUM 157,IRIDIUM 143
294,IRIDIUM 152,IRIDIUM 100
295,IRIDIUM 129,IRIDIUM 152
296,IRIDIUM 131,IRIDIUM 141
297,IRIDIUM 103,IRIDIUM 150
298,IRIDIUM 131,IRIDIUM 141
299,IRIDIUM 120,IRIDIUM 150
300,IRIDIUM 102,IRIDIUM 141
301,IRIDIUM 132,IRIDIUM 150
302,IRIDIUM 112,IRIDIUM 143
303,IRIDIUM 152,IRIDIUM 100
304,IRIDIUM 152,IRIDIUM 100
305,IRIDIUM 157,IRIDIUM 143
306,IRIDIUM 157,IRIDIUM 143
307,IRIDIUM 131,IRIDIUM 141
308,IRIDIUM 160,IRIDIUM 156
309,IRIDIUM 144,IRIDIUM 152
310,IRIDIUM 135,IRIDIUM 152
311,IRIDIUM 103,IRIDIUM 150
312,IRIDIUM 160,IRIDIUM 156
313,IRIDIUM 134,IRIDIUM 112
314,IRIDIUM 144,IRIDIUM 152
315,IRIDIUM 112,IRIDIUM 143
316,IRIDIUM 103,IRIDIUM 150
317,IRIDIUM 100,IRIDIUM 103
318,IRIDIUM 150,IRIDIUM 149
319,IRIDIUM 132,IRIDIUM 150
320,IRIDIUM 109,IRIDIUM 152
321,IRIDIUM 120,IRIDIUM 150
322,IRIDIUM 157,IRIDIUM 143
323,IRIDIUM 157,IRIDIUM 143
324,IRIDIUM 157,IRIDIUM 141
325,IRIDIUM 150,IRIDIUM 149
326,IRIDIUM 150,IRIDIUM 149
327,IRIDIUM 112,IRIDIUM 143
328,IRIDIUM 109,IRIDIUM 152
329,IRIDIUM 100,IRIDIUM 103
330,IRIDIUM 102,IRIDIUM 141
331,IRIDIUM 111,IRIDIUM 112
332,IRIDIUM 157,IRIDIUM 143
333,IRIDIUM 111,IRIDIUM 112
334,IRIDIUM 152,IRIDIUM 100
335,IRIDIUM 100,IRIDIUM 103
336,IRIDIUM 111,IRIDIUM 112
337,IRIDIUM 100,IRIDIUM 103
338,IRIDIUM 100,IRIDIUM 103
339,IRIDIUM 134,IRIDIUM 112
340,IRIDIUM 132,IRIDIUM 152
341,IRIDIUM 157,IRIDIUM 141
342,IRIDIUM 134,IRIDIUM 112
343,IRIDIUM 132,IRIDIUM 150
344,IRIDIUM 103,IRIDIUM 150
345,IRIDIUM 132,IRIDIUM 150
346,IRIDIUM 120,IRIDIUM 150
347,IRIDIUM 132,IRIDIUM 152
348,IRIDIUM 132,IRIDIUM 150
349,IRIDIUM 157,IRIDIUM 141
350,IRIDIUM 103,IRIDIUM 150
351,IRIDIUM 150,IRIDIUM 149
352,IRIDIUM 103,IRIDIUM 150
353,IRIDIUM 152,IRIDIUM 100
354,IRIDIUM 129,IRIDIUM 152
355,IRIDIUM 134,IRIDIUM 112
356,IRIDIUM 120,IRIDIUM 150
357,IRIDIUM 144,IRIDIUM 152
358,IRIDIUM 111,IRIDIUM 112
359,IRIDIUM 129,IRIDIUM 152
360,IRIDIUM 111,IRIDIUM 112
361,IRIDIUM 144,IRIDIUM 152
362,IRIDIUM 144,IRIDIUM 152
363,IRIDIUM 109,IRIDIUM 152
364,IRIDIUM 144,IRIDIUM 152
365,IRIDIUM 157,IRIDIUM 141
366,IRIDIUM 157,IRIDIUM 141
367,IRIDIUM 129,IRIDIUM 152
368,IRIDIUM 100,IRIDIUM 103
369,IRIDIUM 112,IRIDIUM 143
370,IRIDIUM 134,IRIDIUM 112
371,IRIDIUM 109,IRIDIUM 152
372,IRIDIUM 160,IRIDIUM 156
373,IRIDIUM 157,IRIDIUM 141
374,IRIDIUM 157,IRIDIUM 141
375,IRIDIUM 135,IRIDIUM 152
376,IRIDIUM 132,IRIDIUM 152
377,IRIDIUM 157,IRIDIUM 143
378,IRIDIUM 100,IRIDIUM 103
379,IRIDIUM 109,IRIDIUM 152
380,IRIDIUM 150,IRIDIUM 149
381,IRIDIUM 157,IRIDIUM 143
382,IRIDIUM 150,IRIDIUM 149
383,IRIDIUM 167,IRIDIUM 152
384,IRIDIUM 102,IRIDIUM 141
385,IRIDIUM 132,IRIDIUM 152
386,IRIDIUM 132,IRIDIUM 152
387,IRIDIUM 129,IRIDIUM 152
388,IRIDIUM 129,IRIDIUM 152
389,IRIDIUM 157,IRIDIUM 141
390,IRIDIUM 132,IRIDIUM 152
391,IRIDIUM 150,IRIDIUM 149
392,IRIDIUM 129,IRIDIUM 152
393,IRIDIUM 144,IRIDIUM 152
394,IRIDIUM 144,IRIDIUM 152
395,IRIDIUM 157,IRIDIUM 143
396,IRIDIUM 111,IRIDIUM 112
397,IRIDIUM 134,IRIDIUM 112
398,IRIDIUM 150,IRIDIUM 149
399,IRIDIUM 109,IRIDIUM 152
400,IRIDIUM 111,IRIDIUM 112
401,IRIDIUM 144,IRIDIUM 152
402,IRIDIUM 129,IRIDIUM 152
403,IRIDIUM 102,IRIDIUM 141
404,IRIDIUM 135,IRIDIUM 152
405,IRIDIUM 103,IRIDIUM 150
406,IRIDIUM 102,IRIDIUM 141
407,IRIDIUM 131,IRIDIUM 141
408,IRIDIUM 150,IRIDIUM 149
409,IRIDIUM 157,IRIDIUM 143
410,IRIDIUM 167,IRIDIUM 152
411,IRIDIUM 157,IRIDIUM 141
412,IRIDIUM 132,IRIDIUM 152
413,IRIDIUM 135,IRIDIUM 152
414,IRIDIUM 132,IRIDIUM 152
415,IRIDIUM 100,IRIDIUM 103
416,IRIDIUM 135,IRIDIUM 152
417,IRIDIUM 150,IRIDIUM 149
418,IRIDIUM 160,IRIDIUM 156
419,IRIDIUM 132,IRIDIUM 150
420,IRIDIUM 112,IRIDIUM 143
421,IRIDIUM 135,IRIDIUM 152
422,IRIDIUM 152,IRIDIUM 100
423,IRIDIUM 112,IRIDIUM 143
424,IRIDIUM 134,IRIDIUM 112
425,IRIDIUM 103,IRIDIUM 150
426,IRIDIUM 102,IRIDIUM 141
427,IRIDIUM 132,IRIDIUM 152
428,IRIDIUM 160,IRIDIUM 156
429,IRIDIUM 167,IRIDIUM 152
430,IRIDIUM 150,IRIDIUM 149
431,IRIDIUM 102,IRIDIUM 141
432,IRIDIUM 134,IRIDIUM 112
433,IRIDIUM 102,IRIDIUM 141
434,IRIDIUM 111,IRIDIUM 112
435,IRIDIUM 135,IRIDIUM 152
436,IRIDIUM 100,IRIDIUM 103
437,IRIDIUM 132,IRIDIUM 150
438,IRIDIUM 129,IRIDIUM 152
439,IRIDIUM 157,IRIDIUM 143
440,IRIDIUM 152,IRIDIUM 100
441,IRIDIUM 132,IRIDIUM 152
442,IRIDIUM 160,IRIDIUM 156
443,IRIDIUM 157,IRIDIUM 143
444,IRIDIUM 109,IRIDIUM 152
445,IRIDIUM 102,IRIDIUM 141
446,IRIDIUM 144,IRIDIUM 152
447,IRIDIUM 132,IRIDIUM 152
448,IRIDIUM 135,IRIDIUM 152
449,IRIDIUM 103,IRIDIUM 150
450,IRIDIUM 103,IRIDIUM 150
451,IRIDIUM 111,IRIDIUM 112
452,IRIDIUM 100,IRIDIUM 103
453,IRIDIUM 152,IRIDIUM 100
454,IRIDIUM 100,IRIDIUM 103
455,IRIDIUM 144,IRIDIUM 152
456,IRIDIUM 160,IRIDIUM 156
457,IRIDIUM 111,IRIDIUM 112
458,IRIDIUM 100,IRIDIUM 103
459,IRIDIUM 134,IRIDIUM 112
460,IRIDIUM 135,IRIDIUM 152
461,IRIDIUM 109,IRIDIUM 152
462,IRIDIUM 132,IRIDIUM 152
463,IRIDIUM 157,IRIDIUM 143
464,IRIDIUM 100,IRIDIUM 103
465,IRIDIUM 167,IRIDIUM 152
466,IRIDIUM 129,IRIDIUM 152
467,IRIDIUM 129,IRIDIUM 152
468,IRIDIUM 157,IRIDIUM 141
469,IRIDIUM 120,IRIDIUM 150
470,IRIDIUM 157,IRIDIUM 143
471,IRIDIUM 100,IRIDIUM 103
472,IRIDIUM 150,IRIDIUM 149
473,IRIDIUM 167,IRIDIUM 152
474,IRIDIUM 160,IRIDIUM 156
475,IRIDIUM 111,IRIDIUM 112
476,IRIDIUM 150,IRIDIUM 149
477,IRIDIUM 152,IRIDIUM 100
478,IRIDIUM 167,IRIDIUM 152
479,IRIDIUM 160,IRIDIUM 156
480,IRIDIUM 160,IRIDIUM 156
481,IRIDIUM 157,IRIDIUM 143
482,IRIDIUM 111,IRIDIUM 112
483,IRIDIUM 134,IRIDIUM 112
484,IRIDIUM 132,IRIDIUM 152
485,IRIDIUM 103,IRIDIUM 150
486,IRIDIUM 100,IRIDIUM 103
487,IRIDIUM 100,IRIDIUM 103
488,IRIDIUM 135,IRIDIUM 152
489,IRIDIUM 102,IRIDIUM 141
490,IRIDIUM 100,IRIDIUM 103
491,IRIDIUM 111,IRIDIUM 112
492,IRIDIUM 132,IRIDIUM 152
493,IRIDIUM 131,IRIDIUM 141
494,IRIDIUM 150,IRIDIUM 149
